                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4628,                 9.4083,                  2.415,                0.61745,                0.14373,                0.07236,                0.03036,                 2.2554,                   5.82,                 2.4332,                      0,             0.00017434,             0.00017434,             0.00017434
                      2,                 2.2352,                 5.4726,                 2.2794,                0.19351,                0.17628,                0.14293,                0.07936,                 1.9682,                 5.9491,                 2.3754,                      0,             0.00034275,             0.00034275,             0.00034275
                      3,                 2.0402,                 4.1634,                  2.267,                0.21556,                0.21203,                0.17738,                0.09766,                 2.0451,                 6.1151,                 2.4384,             4.9785e-05,             0.00050422,             0.00050422,             0.00050422
                      4,                 2.0321,                 3.9681,                 2.2972,                0.26998,                0.25403,                0.23692,                0.13526,                 1.9435,                 3.6539,                 2.3388,             0.00033075,             0.00049476,             0.00049476,             0.00049476
                      5,                 1.9561,                 3.5875,                 2.2514,                0.28429,                0.26208,                0.24897,                0.14581,                 1.8977,                 3.9521,                 2.3087,                      0,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.0672,                 3.4462,                 2.2036,                0.28702,                0.26359,                0.24844,                0.14529,                 1.9712,                 3.8494,                 2.3131,             2.8232e-05,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.0014,                 3.1201,                 2.2127,                0.31562,                 0.2667,                0.26989,                0.15603,                 2.0336,                 3.8103,                  2.296,                      0,             0.00046351,             0.00046351,             0.00046351
                      8,                 1.9473,                 3.8687,                  2.235,                0.56003,                0.26456,                0.27368,                0.15904,                 2.0438,                 4.1661,                 2.3067,             2.6139e-05,              0.0004531,              0.0004531,              0.0004531
                      9,                 1.9329,                 2.8619,                 2.1898,                0.55491,                0.27147,                 0.2742,                0.16008,                 2.1076,                 3.9149,                 2.3082,                      0,             0.00044268,             0.00044268,             0.00044268
                     10,                  1.985,                  2.927,                 2.1843,                0.57058,                 0.2793,                0.30352,                0.17529,                 2.1069,                 4.7318,                 2.2786,                      0,             0.00043227,             0.00043227,             0.00043227
                     11,                 1.9956,                 2.8521,                 2.1452,                0.82895,                0.28442,                  0.299,                0.17468,                 2.1265,                 4.6384,                 2.2772,                      0,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.0143,                 2.6605,                 2.1468,                0.83745,                0.28784,                0.30231,                0.17398,                 2.1434,                 3.5303,                 2.3008,                      0,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.0302,                 2.8559,                 2.1626,                0.83096,                0.29031,                0.30458,                0.18416,                 2.0767,                 3.4559,                 2.2212,                      0,             0.00040102,             0.00040102,             0.00040102
                     14,                 2.1286,                 2.7581,                 2.1511,                0.82866,                0.29311,                0.30379,                0.17458,                 2.2049,                 3.5646,                 2.2907,                      0,             0.00039061,             0.00039061,             0.00039061
                     15,                 2.1019,                 2.5536,                 2.1211,                0.64314,                0.28803,                0.29573,                0.17606,                 2.2624,                 3.9124,                 2.2485,                      0,             0.00038019,             0.00038019,             0.00038019
                     16,                 2.0469,                 2.5208,                 2.1393,                0.82939,                0.28997,                  0.307,                0.18495,                 2.2691,                 4.1944,                  2.255,                      0,             0.00036978,             0.00036978,             0.00036978
                     17,                 2.0531,                 2.4923,                   2.12,                0.82763,                0.30631,                0.31155,                0.18686,                 2.2713,                 4.3544,                 2.2484,              0.0029916,             0.00035936,             0.00035936,             0.00035936
                     18,                 2.0779,                 2.5648,                 2.1401,                0.44683,                0.29757,                0.30148,                0.17244,                 2.4002,                 3.3179,                 2.2597,                      0,             0.00034895,             0.00034895,             0.00034895
                     19,                 2.1763,                 2.4195,                 2.1256,                0.62554,                0.30044,                0.31239,                0.18161,                 2.4651,                 3.5157,                 2.2608,             0.00068922,             0.00033853,             0.00033853,             0.00033853
                     20,                 2.1598,                 2.4585,                 2.1138,                0.59028,                0.33065,                0.31138,                0.18551,                 2.3571,                 3.2811,                 2.2217,                      0,             0.00032812,             0.00032812,             0.00032812
                     21,                 2.3169,                 2.5189,                 2.1144,                0.82719,                 0.2862,                 0.3102,                0.18316,                 2.4233,                 4.5551,                 2.2132,                      0,              0.0003177,              0.0003177,              0.0003177
                     22,                 2.2429,                  2.413,                 2.0917,                  0.686,                0.31046,                0.32102,                0.18913,                 2.4201,                 3.5032,                 2.2081,                      0,             0.00030729,             0.00030729,             0.00030729
                     23,                 2.2674,                 2.4207,                 2.0973,                0.38215,                0.29403,                0.31316,                0.18206,                 2.4541,                 3.9487,                 2.2277,             5.9632e-05,             0.00029687,             0.00029687,             0.00029687
                     24,                 2.2056,                 2.2706,                 2.0847,                 0.5017,                0.32152,                0.31423,                0.19171,                 2.4144,                 3.6179,                 2.1946,                      0,             0.00028646,             0.00028646,             0.00028646
                     25,                 2.4303,                 2.4665,                 2.0986,                 0.8395,                0.30683,                0.31849,                 0.1976,                 2.3658,                 3.5168,                 2.1827,                      0,             0.00027604,             0.00027604,             0.00027604
                     26,                 2.3396,                 2.3594,                 2.0854,                0.80934,                0.30747,                0.32591,                0.19571,                 2.4994,                  3.308,                 2.1857,                      0,             0.00026563,             0.00026563,             0.00026563
                     27,                 2.2744,                 2.2751,                 2.0655,                0.59817,                0.30705,                0.31847,                0.19679,                 2.4899,                 3.1465,                 2.2018,                      0,             0.00025522,             0.00025522,             0.00025522
                     28,                 2.4352,                 2.3884,                 2.0655,                0.42711,                0.29963,                0.33157,                0.19993,                 2.5604,                 3.0029,                 2.2019,             7.9711e-05,              0.0002448,              0.0002448,              0.0002448
                     29,                 2.2737,                 2.1724,                 2.0636,                0.35466,                0.37834,                0.34304,                0.20748,                 2.5811,                 3.6276,                 2.1939,                      0,             0.00023439,             0.00023439,             0.00023439
                     30,                 2.3755,                 2.3641,                 2.0632,                0.43299,                0.31264,                0.31372,                 0.1832,                 2.6673,                 3.3021,                 2.2238,                      0,             0.00022397,             0.00022397,             0.00022397
                     31,                 2.4349,                 2.2795,                 2.0617,                0.62305,                0.29931,                0.33581,                0.20154,                 2.6499,                  3.587,                 2.1976,              8.897e-05,             0.00021356,             0.00021356,             0.00021356
                     32,                 2.4973,                 2.3483,                 2.0515,                0.47415,                0.32518,                0.33417,                0.20255,                 2.7306,                 2.8191,                 2.2189,             9.9937e-05,             0.00020314,             0.00020314,             0.00020314
                     33,                 2.5874,                  2.303,                 2.0403,                0.44449,                0.38362,                0.34626,                0.20624,                 2.7216,                 3.3468,                 2.2083,             0.00025687,             0.00019273,             0.00019273,             0.00019273
                     34,                 2.5105,                 2.2661,                 2.0383,                 0.4216,                0.32307,                0.32499,                0.20092,                 2.6475,                 2.9152,                 2.1796,             7.8695e-05,             0.00018231,             0.00018231,             0.00018231
                     35,                 2.4286,                 2.1964,                 2.0512,                0.42892,                0.36941,                 0.3401,                 0.2027,                 2.7614,                 3.0183,                 2.1766,             0.00027819,              0.0001719,              0.0001719,              0.0001719
                     36,                 2.4937,                 2.1694,                 2.0583,                0.72614,                0.30232,                0.33791,                0.20345,                 2.7973,                 3.3226,                 2.1794,                      0,             0.00016148,             0.00016148,             0.00016148
                     37,                 2.4493,                 2.0896,                 2.0193,                0.41465,                0.37755,                0.34225,                0.20898,                 2.7308,                 2.9493,                 2.1758,              0.0001122,             0.00015107,             0.00015107,             0.00015107
                     38,                 2.3607,                 2.0709,                 2.0482,                0.45013,                0.34922,                0.33519,                0.20289,                 2.7674,                 2.9303,                 2.1789,                      0,             0.00014065,             0.00014065,             0.00014065
                     39,                  2.602,                 2.0852,                 2.0285,                0.67603,                0.30297,                0.33415,                 0.2043,                 2.7398,                 3.2069,                 2.1619,                      0,             0.00013024,             0.00013024,             0.00013024
                     40,                  2.596,                 2.0579,                 2.0342,                0.38007,                0.36195,                0.33709,                0.20523,                 2.8255,                 2.9891,                 2.1787,                      0,             0.00011982,             0.00011982,             0.00011982
                     41,                 2.8169,                 2.9779,                   2.12,                0.40518,                0.31626,                0.32129,                0.19672,                 2.9065,                 3.1396,                 2.1669,                      0,             0.00010941,             0.00010941,             0.00010941
                     42,                 2.6256,                 2.8584,                 2.1403,                0.38387,                 0.3313,                0.33835,                0.20524,                 2.8494,                 3.1891,                 2.1803,                      0,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                  2.666,                 2.7252,                 2.1321,                 0.4687,                0.37469,                0.36961,                0.22327,                 2.8563,                 2.7174,                 2.1594,                      0,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 2.6094,                 2.6177,                 2.1071,                0.51958,                0.35871,                0.37441,                0.23054,                 2.8014,                 2.7536,                 2.1435,                      0,             7.8164e-05,             7.8164e-05,             7.8164e-05
