                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.9956,                 1.7179,                  1.953,                0.64375,                0.47161,                0.53431,                0.30671,                 3.2739,                  2.386,                 2.1935,               0.096755,             0.00042907,             0.00042907,             0.00042907
                     33,                 2.1205,                 1.7838,                 1.9534,                 0.6457,                0.47063,                0.53377,                0.30539,                 3.3934,                 2.3306,                 2.1945,               0.071973,             0.00040707,             0.00040707,             0.00040707
                     34,                  2.107,                 1.7281,                 1.9276,                0.63808,                0.46827,                0.53368,                0.31147,                 3.4109,                 2.3604,                 2.1855,               0.093044,             0.00038507,             0.00038507,             0.00038507
                     35,                 2.1098,                 1.7229,                 1.9481,                0.64721,                0.47359,                 0.5368,                0.31578,                 3.2271,                 2.3307,                 2.1643,               0.067189,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.9443,                 1.7147,                 1.9444,                0.64891,                0.47221,                0.54136,                0.31553,                 3.3755,                 2.3591,                 2.1708,               0.029557,             0.00034108,             0.00034108,             0.00034108
                     37,                 2.0273,                 1.7154,                 1.9381,                0.64018,                0.48047,                0.53898,                0.31812,                 3.3052,                 2.2947,                 2.1652,               0.023547,             0.00031908,             0.00031908,             0.00031908
                     38,                 2.1686,                 1.6918,                 1.9156,                0.65829,                0.46845,                0.54037,                0.31437,                 3.4305,                 2.2951,                 2.1777,                0.10996,             0.00029708,             0.00029708,             0.00029708
                     39,                 2.0549,                 1.6389,                 1.9388,                0.65326,                0.48126,                0.54354,                0.32192,                 3.3151,                 2.2491,                 2.1561,               0.089805,             0.00027508,             0.00027508,             0.00027508
                     40,                 2.1715,                 1.6618,                 1.9224,                  0.634,                 0.4767,                0.53604,                0.31262,                 3.4788,                 2.2752,                 2.1749,               0.051769,             0.00025309,             0.00025309,             0.00025309
                     41,                 2.0745,                 1.7423,                 1.9857,                 0.6409,                0.47291,                0.53612,                 0.3183,                 3.3813,                 2.3443,                 2.1603,               0.010986,             0.00023109,             0.00023109,             0.00023109
                     42,                 2.0176,                 1.6937,                 2.0013,                 0.6447,                0.47521,                 0.5391,                0.32022,                 3.4036,                 2.3527,                 2.1529,               0.080448,             0.00020909,             0.00020909,             0.00020909
                     43,                 2.0545,                 1.7344,                  1.989,                 0.6457,                0.47434,                0.53738,                0.31988,                 3.4768,                 2.3104,                  2.169,              0.0088379,             0.00018709,             0.00018709,             0.00018709
                     44,                 2.0189,                 1.6948,                 1.9661,                0.64793,                0.47703,                0.54192,                0.32341,                  3.478,                 2.3336,                 2.1507,               0.033867,             0.00016509,             0.00016509,             0.00016509
                     45,                 2.0792,                 1.7082,                 1.9663,                0.64507,                0.47665,                0.54177,                0.32451,                 3.4557,                 2.2894,                 2.1493,               0.071644,              0.0001431,              0.0001431,              0.0001431
                     46,                 2.0297,                 1.6733,                 1.9647,                0.63923,                0.47413,                0.53677,                0.31837,                 3.5168,                 2.2981,                 2.1578,              0.0032677,              0.0001211,              0.0001211,              0.0001211
                     47,                 2.0547,                 1.7032,                 1.9554,                0.64345,                0.47079,                0.53703,                0.31989,                 3.5712,                 2.3369,                  2.161,               0.065944,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 2.1684,                 1.7206,                  1.953,                0.64382,                0.47241,                0.53855,                0.31871,                   3.58,                 2.3401,                 2.1624,               0.035771,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 2.0862,                 1.6781,                 1.9649,                0.64645,                0.46987,                0.53771,                0.32076,                 3.5759,                 2.3443,                 2.1586,               0.081755,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 2.1303,                 1.6569,                 1.9551,                0.64817,                0.47099,                0.53849,                0.32156,                 3.5903,                 2.3146,                 2.1558,               0.076961,             3.3108e-05,             3.3108e-05,             3.3108e-05
