                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 3.3912,                 3.9153,                 2.1667,                 0.5728,                0.39953,                0.41431,                0.22066,                 3.1839,                 4.1516,                 2.2859,               0.042969,             0.00042907,             0.00042907,             0.00042907
                     33,                 3.5274,                 4.0286,                 2.1399,                 0.3968,                0.39245,                0.39607,                0.19922,                 3.3681,                 4.3944,                 2.2982,                0.92188,             0.00040707,             0.00040707,             0.00040707
                     34,                 3.6106,                 4.5316,                 2.1379,                0.55792,                0.35978,                0.39306,                0.21081,                 3.2099,                 4.4759,                 2.2685,                  1.133,             0.00038507,             0.00038507,             0.00038507
                     35,                 3.4196,                 4.7281,                 2.1371,                0.66275,                0.33859,                0.41019,                0.22222,                  3.118,                 4.0781,                 2.2522,                 1.0367,             0.00036307,             0.00036307,             0.00036307
                     36,                 3.3429,                 4.6218,                 2.1146,                0.66548,                0.36486,                0.41879,                0.21832,                 3.3159,                  4.333,                 2.2719,                0.48047,             0.00034108,             0.00034108,             0.00034108
                     37,                  3.508,                 4.7415,                 2.1072,                0.70364,                0.30434,                0.39672,                0.21044,                 3.2721,                 4.3883,                 2.2726,                0.54563,             0.00031908,             0.00031908,             0.00031908
                     38,                 3.5506,                 3.7195,                 2.1177,                0.62438,                0.34843,                0.38661,                0.20425,                 3.2511,                 3.9152,                 2.2466,                0.75608,             0.00029708,             0.00029708,             0.00029708
                     39,                 3.5048,                 4.3641,                 2.1324,                0.25143,                0.51848,                0.41311,                0.22765,                 3.2398,                 4.8592,                 2.2553,                 2.7567,             0.00027508,             0.00027508,             0.00027508
                     40,                 3.5745,                 4.2539,                 2.1281,                0.64411,                0.34822,                0.39865,                0.21279,                 3.3346,                  4.103,                 2.2561,                0.78428,             0.00025309,             0.00025309,             0.00025309
                     41,                 3.3495,                 6.0535,                 1.9322,                0.26863,                0.45717,                0.38679,                0.20456,                 3.4224,                 5.9068,                 2.2864,                 3.5705,             0.00023109,             0.00023109,             0.00023109
                     42,                 3.3902,                 5.0096,                 2.0854,                0.21869,                0.52053,                0.38589,                0.20511,                 3.3535,                 5.0353,                 2.2639,                 0.4801,             0.00020909,             0.00020909,             0.00020909
                     43,                 3.2334,                 4.9855,                 1.9395,                0.29891,                0.45125,                0.40299,                0.21959,                  3.261,                 5.9461,                 2.2443,                 1.6068,             0.00018709,             0.00018709,             0.00018709
                     44,                 3.3443,                 4.8132,                  1.985,                0.26956,                0.47873,                0.39822,                0.21454,                  3.311,                 5.6553,                 2.2415,                0.92122,             0.00016509,             0.00016509,             0.00016509
                     45,                   3.59,                 4.7787,                 2.0464,                0.22223,                0.49516,                0.38181,                0.20006,                   3.38,                 5.2294,                 2.2582,                 1.4197,              0.0001431,              0.0001431,              0.0001431
                     46,                 3.2425,                  4.619,                 1.9632,                0.32374,                0.45968,                 0.4155,                0.23297,                 3.3363,                 5.7906,                 2.2501,                0.21742,              0.0001211,              0.0001211,              0.0001211
                     47,                 3.4154,                 4.7731,                 2.0294,                0.28618,                0.46018,                0.39688,                0.21389,                 3.4186,                 5.7844,                 2.2585,                0.44315,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 3.5483,                 4.6751,                 2.0506,                0.25669,                0.48655,                0.39275,                0.21019,                 3.4097,                 5.4065,                 2.2587,                0.56115,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                  3.303,                 4.5149,                 1.9517,                0.25784,                0.48098,                0.39209,                0.20963,                 3.4484,                 5.4386,                 2.2646,                 1.1255,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 3.4242,                 4.3735,                 2.0214,                0.25384,                0.48371,                0.39013,                0.20819,                 3.4506,                 5.3275,                 2.2588,                0.81043,             3.3108e-05,             3.3108e-05,             3.3108e-05
