                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.9284,                 1.9365,                 1.9367,                0.84978,                0.39558,                0.46338,                0.27103,                 3.8893,                 2.8388,                 2.1502,                0.35856,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.9969,                 1.9506,                 1.9444,                0.85287,                0.39349,                 0.4588,                0.26748,                 3.9609,                 2.7885,                 2.1605,                0.67487,               0.000458,               0.000458,               0.000458
                     34,                 2.0528,                 1.9901,                 1.9397,                0.58888,                0.40204,                 0.4606,                 0.2713,                 3.9586,                 2.7861,                 2.1401,                0.81753,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.9887,                 1.8882,                  1.941,                0.84702,                0.39347,                0.46267,                0.27523,                 3.9631,                 3.0333,                 2.1308,                0.36816,              0.0004085,              0.0004085,              0.0004085
                     36,                 2.0417,                 1.9054,                 1.9535,                0.84263,                0.40175,                0.46363,                0.27504,                 3.9841,                 2.6955,                 2.1359,                0.22199,             0.00038375,             0.00038375,             0.00038375
                     37,                 2.0608,                 1.8412,                 1.9465,                0.85313,                0.38847,                0.45922,                0.27184,                  3.958,                 2.9084,                 2.1197,                0.18186,               0.000359,               0.000359,               0.000359
                     38,                 2.0856,                 1.8996,                 1.9178,                0.82506,                0.40039,                0.46055,                0.26906,                 4.0465,                 2.7532,                 2.1464,                 0.2166,             0.00033425,             0.00033425,             0.00033425
                     39,                 2.0788,                 1.9222,                 1.9261,                0.84728,                0.39896,                0.46217,                0.27184,                 4.0537,                 2.7356,                 2.1348,                0.20882,              0.0003095,              0.0003095,              0.0003095
                     40,                 2.0708,                 1.9284,                  1.927,                 0.5954,                0.39414,                0.46011,                0.27224,                 4.0157,                 2.7424,                 2.1204,                 1.6564,             0.00028475,             0.00028475,             0.00028475
                     41,                 2.2071,                 2.1645,                 1.9735,                0.84488,                0.39075,                0.46375,                0.27731,                 4.0688,                 2.8993,                 2.1356,                0.25022,                0.00026,                0.00026,                0.00026
                     42,                 2.1806,                 2.2056,                 1.9593,                0.59123,                0.39406,                0.46277,                0.27696,                 4.0817,                 2.8216,                 2.1342,                0.11545,             0.00023525,             0.00023525,             0.00023525
                     43,                 2.1619,                 2.0536,                 1.9724,                0.58579,                 0.3927,                0.46183,                0.27493,                 4.0916,                 2.8194,                 2.1222,                 1.2504,              0.0002105,              0.0002105,              0.0002105
                     44,                 2.1888,                 2.2469,                 1.9332,                0.85422,                0.38952,                0.46394,                0.27424,                 4.1271,                 3.0614,                 2.1369,                0.30499,             0.00018575,             0.00018575,             0.00018575
                     45,                 2.2037,                 2.2054,                 1.9383,                0.84953,                0.38986,                0.46452,                0.27402,                 4.1242,                   2.92,                 2.1246,                 2.7142,               0.000161,               0.000161,               0.000161
                     46,                 2.2503,                 2.1119,                 1.9617,                0.86213,                  0.387,                 0.4674,                0.28054,                 4.1098,                 3.0361,                 2.1185,                 1.2564,             0.00013625,             0.00013625,             0.00013625
                     47,                 2.1527,                 1.9598,                 1.9249,                0.86229,                0.39189,                 0.4682,                0.28087,                 4.1263,                 3.0979,                 2.1244,                 1.9649,              0.0001115,              0.0001115,              0.0001115
                     48,                 2.2497,                 2.0407,                 1.9504,                0.86183,                0.38801,                0.46581,                 0.2765,                 4.1647,                 2.9743,                 2.1166,                 1.5564,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 2.2373,                 2.0779,                  1.953,                0.86122,                0.39627,                 0.4721,                0.28496,                 4.1545,                 2.9302,                 2.1121,                 0.2412,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 2.2272,                  2.038,                 1.9279,                0.87184,                0.38794,                0.47114,                0.28426,                 4.1417,                 2.9549,                 2.1099,                0.15244,              3.725e-05,              3.725e-05,              3.725e-05
