                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.3775,                 2.4977,                 2.0566,                0.78697,                0.42946,                0.46468,                0.25647,                 3.4549,                 2.2891,                 2.1014,             0.00086902,             0.00086902,             0.00086902
                     35,                 3.3674,                 2.4975,                  2.077,                0.79805,                0.43325,                0.47611,                0.26491,                 3.4535,                 2.2347,                 2.0982,             0.00086169,             0.00086169,             0.00086169
                     36,                 3.3672,                 2.4709,                 2.0572,                0.79398,                0.42549,                0.46496,                0.25501,                 3.5567,                 2.2923,                 2.1416,             0.00085436,             0.00085436,             0.00085436
                     37,                  3.407,                 2.4335,                 2.0679,                0.79044,                0.40944,                0.45316,                0.25441,                 3.5365,                 2.3275,                 2.0951,             0.00084703,             0.00084703,             0.00084703
                     38,                 3.4275,                 2.4202,                 2.0382,                0.79611,                0.40957,                0.45646,                0.25286,                 3.5893,                  2.389,                 2.0959,             0.00083969,             0.00083969,             0.00083969
                     39,                 3.4787,                 2.4422,                 2.0445,                0.82149,                0.41958,                0.47252,                0.26407,                 3.5773,                 2.2561,                 2.1069,             0.00083236,             0.00083236,             0.00083236
                     40,                 3.5305,                 2.4892,                 2.0531,                0.60562,                0.43581,                0.48013,                0.27177,                 3.5274,                 2.2278,                 2.0886,             0.00082503,             0.00082503,             0.00082503
                     41,                 3.4708,                 2.4096,                 2.0355,                0.78698,                0.40748,                0.45701,                 0.2538,                 3.5728,                 2.5238,                 2.0996,              0.0008177,              0.0008177,              0.0008177
                     42,                 3.4687,                 2.4368,                 2.0412,                0.80573,                0.42889,                0.47547,                0.26972,                  3.537,                 2.2233,                 2.0797,             0.00081036,             0.00081036,             0.00081036
                     43,                 3.5252,                 2.4213,                 2.0186,                0.81388,                0.42592,                0.47596,                0.27161,                 3.5638,                 2.2454,                  2.085,             0.00080303,             0.00080303,             0.00080303
                     44,                 3.5205,                 2.4115,                 2.0295,                0.82671,                 0.4199,                0.47672,                0.26792,                 3.6376,                 2.2664,                 2.0908,              0.0007957,              0.0007957,              0.0007957
                     45,                 3.5189,                 2.4433,                 2.0419,                0.81754,                0.42901,                0.47888,                0.27623,                    3.6,                 2.2509,                 2.0721,             0.00078837,             0.00078837,             0.00078837
                     46,                  3.525,                 2.3426,                 2.0173,                0.82332,                0.42567,                0.48095,                0.26984,                 3.6587,                 2.2105,                 2.0862,             0.00078103,             0.00078103,             0.00078103
                     47,                 3.5967,                  2.375,                 2.0305,                0.81336,                0.43541,                0.48424,                 0.2726,                 3.6404,                 2.2625,                 2.0793,              0.0007737,              0.0007737,              0.0007737
                     48,                   3.62,                 2.4042,                 2.0309,                0.82791,                0.42612,                  0.482,                0.27574,                 3.6511,                 2.2559,                 2.0814,             0.00076637,             0.00076637,             0.00076637
                     49,                 3.5178,                 2.3447,                 2.0335,                0.62123,                0.44276,                0.48754,                0.27639,                 3.6814,                 2.2214,                 2.0893,             0.00075904,             0.00075904,             0.00075904
                     50,                 3.5762,                  2.307,                 2.0269,                0.81044,                0.43373,                0.47978,                0.27162,                 3.6767,                 2.1965,                 2.0863,              0.0007517,              0.0007517,              0.0007517
                     51,                 3.5216,                 2.2992,                 2.0459,                 0.8345,                0.43519,                0.48861,                0.27533,                 3.8292,                 2.2368,                 2.0899,             0.00074437,             0.00074437,             0.00074437
                     52,                 3.5555,                 2.2856,                 2.0315,                0.62481,                0.43816,                0.48546,                0.26898,                 3.7828,                  2.216,                 2.1007,             0.00073704,             0.00073704,             0.00073704
                     53,                 3.5301,                 2.3296,                 2.0382,                0.82028,                0.43424,                0.48379,                0.27509,                 3.7097,                 2.1838,                 2.0905,              0.0007297,              0.0007297,              0.0007297
                     54,                 3.6054,                 2.2662,                 2.0126,                0.81502,                0.44074,                0.48572,                0.27663,                 3.7201,                 2.1588,                 2.0742,             0.00072237,             0.00072237,             0.00072237
                     55,                 3.6018,                   2.33,                 2.0296,                0.83166,                0.43257,                0.48751,                0.27488,                 3.7474,                 2.1839,                 2.0849,             0.00071504,             0.00071504,             0.00071504
                     56,                 3.6869,                 2.3211,                 2.0288,                0.84039,                0.44069,                0.49102,                0.28002,                 3.6794,                 2.1681,                 2.0666,             0.00070771,             0.00070771,             0.00070771
                     57,                 3.6679,                 2.3506,                 2.0099,                  0.822,                0.43121,                0.48403,                0.28148,                 3.7041,                 2.1881,                 2.0586,             0.00070037,             0.00070037,             0.00070037
                     58,                 3.6635,                 2.3479,                 2.0155,                0.81028,                0.43089,                0.47879,                0.27093,                 3.8437,                 2.2071,                 2.0878,             0.00069304,             0.00069304,             0.00069304
                     59,                 3.6265,                 2.3013,                 2.0059,                0.79649,                 0.4345,                 0.4769,                0.27281,                 3.7947,                 2.1914,                 2.0855,             0.00068571,             0.00068571,             0.00068571
                     60,                 3.7278,                 2.3235,                 2.0011,                 0.8286,                0.42378,                0.48091,                0.27106,                 3.8286,                 2.3052,                 2.0808,             0.00067838,             0.00067838,             0.00067838
                     61,                 3.6773,                 2.2768,                  2.038,                0.61429,                0.43385,                0.48394,                0.27886,                 3.7793,                 2.1664,                 2.0788,             0.00067104,             0.00067104,             0.00067104
                     62,                 3.5679,                 2.1883,                 2.0034,                0.81375,                  0.437,                0.48555,                0.28044,                 3.7822,                   2.19,                 2.0726,             0.00066371,             0.00066371,             0.00066371
                     63,                 3.6303,                 2.2639,                 2.0136,                0.83067,                0.45146,                0.49892,                0.28545,                 3.7531,                 2.1083,                 2.0632,             0.00065638,             0.00065638,             0.00065638
                     64,                 3.5978,                 2.2202,                 2.0019,                0.82972,                0.44243,                0.49075,                0.28125,                 3.8271,                 2.1342,                 2.0777,             0.00064905,             0.00064905,             0.00064905
                     65,                 3.5689,                 2.1917,                 2.0073,                0.84778,                0.43212,                0.49044,                0.27863,                 3.8528,                 2.1625,                 2.0766,             0.00064171,             0.00064171,             0.00064171
                     66,                 3.6579,                 2.2163,                 2.0026,                0.82828,                0.43595,                0.48663,                0.27844,                 3.8496,                 2.1381,                 2.0718,             0.00063438,             0.00063438,             0.00063438
                     67,                 3.5977,                 2.2122,                 1.9908,                0.81473,                0.44021,                0.48708,                 0.2796,                 3.8409,                 2.1743,                 2.0725,             0.00062705,             0.00062705,             0.00062705
                     68,                 3.6482,                 2.2111,                 1.9949,                0.83942,                0.43717,                0.49985,                 0.2856,                 3.7788,                  2.141,                 2.0629,             0.00061972,             0.00061972,             0.00061972
                     69,                 3.6042,                  2.195,                 2.0045,                0.82805,                0.43498,                0.48769,                0.28175,                  3.854,                  2.162,                 2.0658,             0.00061238,             0.00061238,             0.00061238
                     70,                 3.6082,                 2.2188,                 2.0011,                0.62168,                 0.4463,                0.49682,                0.28887,                 3.8328,                 2.1115,                  2.068,             0.00060505,             0.00060505,             0.00060505
                     71,                 3.6865,                 2.2512,                 2.0102,                0.84754,                0.44337,                0.50147,                0.29381,                 3.8309,                 2.1193,                 2.0669,             0.00059772,             0.00059772,             0.00059772
                     72,                 3.7139,                  2.213,                 1.9856,                0.82882,                0.43332,                0.48522,                0.27924,                 3.8807,                  2.188,                 2.0663,             0.00059039,             0.00059039,             0.00059039
                     73,                 3.7212,                 2.2508,                 1.9873,                0.62609,                0.44121,                0.49199,                0.28446,                 3.8577,                  2.198,                 2.0589,             0.00058305,             0.00058305,             0.00058305
                     74,                 3.5686,                  2.115,                 1.9951,                0.61644,                0.45366,                0.49964,                0.28871,                 3.8558,                 2.1016,                 2.0642,             0.00057572,             0.00057572,             0.00057572
                     75,                 3.5452,                 2.1386,                 1.9855,                0.81547,                 0.4494,                0.49143,                0.28427,                 3.8575,                 2.2599,                 2.0601,             0.00056839,             0.00056839,             0.00056839
