                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.7451,                  1.894,                 2.0684,                0.85854,                0.47869,                0.56243,                0.33001,                 2.8668,                 2.8875,                 2.1464,                0.28481,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.9293,                 1.9592,                 2.0682,                0.57995,                0.53479,                0.55136,                 0.3299,                 2.9147,                 3.2105,                 2.1561,                0.11875,               0.000458,               0.000458,               0.000458
                     34,                 1.8846,                 1.8772,                 2.0377,                0.83387,                0.49824,                0.55592,                0.33777,                 2.8739,                 2.3471,                 2.1312,                0.14361,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.8793,                 1.9171,                 2.0824,                0.85789,                0.48229,                0.55517,                 0.3371,                 2.8551,                 2.8893,                 2.1126,                0.06901,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.8762,                 1.8795,                 2.0405,                0.86796,                0.48189,                0.55571,                0.33751,                 2.8873,                 2.4125,                 2.1184,               0.046258,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.8649,                 1.8292,                 2.0371,                0.86868,                0.48575,                0.56705,                0.34473,                 2.8994,                 2.5815,                 2.1098,               0.079687,               0.000359,               0.000359,               0.000359
                     38,                 1.9391,                 1.7815,                  2.006,                0.61596,                 0.5081,                0.54612,                0.32778,                 2.9712,                 2.4023,                  2.118,                0.26113,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.8834,                 1.9067,                 2.0334,                0.85892,                0.49329,                0.54988,                0.33426,                 2.9678,                 2.5116,                 2.1094,                0.30223,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.9952,                 1.8269,                  2.037,                0.75944,                0.51578,                0.55906,                0.33469,                 3.0461,                 3.0004,                 2.1193,                0.12025,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.9534,                 2.3942,                  2.045,                0.68655,                0.49946,                0.55706,                0.33986,                 3.0449,                 2.4795,                 2.1233,                0.38965,                0.00026,                0.00026,                0.00026
                     42,                 1.9583,                 2.2801,                 2.0687,                0.75235,                0.51138,                0.55811,                 0.3416,                  3.085,                 2.3194,                 2.1291,                0.12641,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.9382,                 2.2053,                 2.0692,                0.79058,                0.51656,                0.56352,                0.35128,                 3.0269,                 2.5105,                 2.1137,               0.069304,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.9084,                 2.0945,                 2.0379,                0.77038,                0.49259,                0.56548,                0.34041,                 3.0923,                 2.9238,                  2.118,               0.025456,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.8965,                 1.9356,                 2.0065,                0.85811,                0.48071,                0.56387,                 0.3483,                 3.0703,                 3.5989,                 2.1112,                0.12305,               0.000161,               0.000161,               0.000161
                     46,                 1.9469,                 1.9607,                 1.9825,                0.82353,                0.50526,                0.56686,                0.35104,                 3.1044,                 2.6092,                 2.1088,                0.44972,             0.00013625,             0.00013625,             0.00013625
                     47,                 2.0225,                 1.9829,                 2.0118,                0.86255,                0.48296,                0.55902,                 0.3428,                 3.1068,                 2.7743,                 2.1078,                0.21637,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.9867,                  2.049,                 1.9862,                0.60959,                 0.5309,                0.56371,                0.34912,                  3.119,                 2.3403,                 2.1002,               0.073828,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 2.0409,                 2.0255,                 2.0733,                 0.6364,                0.53934,                0.57037,                0.35261,                 3.1385,                 2.3265,                 2.1031,                 0.2035,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.9793,                 1.8762,                 2.0527,                0.68017,                  0.535,                0.56547,                0.35093,                  3.154,                 2.3056,                 2.1054,                0.24689,              3.725e-05,              3.725e-05,              3.725e-05
