                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7648,                 8.9873,                 4.0534,                0.17836,                0.07638,                0.05881,                0.02735,                 3.0141,                 6.1367,                 3.4293,             1.7448e-05,             0.00017434,             0.00017434,             0.00017434
                      2,                 2.6473,                 6.3871,                 2.8804,                0.30247,                 0.0924,                0.09759,                0.05109,                 2.3626,                 5.4015,                 2.9272,              0.0097138,             0.00034275,             0.00034275,             0.00034275
                      3,                   2.32,                 5.4308,                 2.6838,                0.30627,                0.10024,                0.08762,                 0.0521,                 2.3316,                 5.6591,                 2.7967,             0.00010337,             0.00050422,             0.00050422,             0.00050422
                      4,                  2.221,                 5.0037,                 2.5473,                0.34745,                0.11828,                0.12764,                0.06976,                 2.3216,                 5.0522,                 2.7804,             0.00012752,             0.00049476,             0.00049476,             0.00049476
                      5,                 2.2504,                 4.6533,                 2.4871,                0.45028,                0.10141,                0.10723,                 0.0648,                   2.36,                 5.7291,                 2.7443,                      0,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.1879,                 4.3149,                 2.4381,                 0.5548,                 0.0978,                0.11666,                  0.062,                 2.5445,                  5.755,                  2.805,                      0,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.1066,                 4.2549,                 2.4733,                0.54501,                0.11072,                0.13226,                0.07902,                 2.5006,                 5.7312,                 2.6858,                      0,             0.00046351,             0.00046351,             0.00046351
                      8,                 2.0894,                 3.9549,                 2.3577,                0.75361,                0.12052,                0.15525,                0.09262,                  2.352,                 5.1151,                  2.604,                      0,              0.0004531,              0.0004531,              0.0004531
                      9,                 2.1356,                  3.759,                 2.3519,                0.69042,                0.13563,                0.15631,                0.08874,                 2.4192,                 5.5277,                 2.6435,                      0,             0.00044268,             0.00044268,             0.00044268
                     10,                 2.1065,                 3.5495,                 2.2844,                0.60117,                0.18813,                0.17719,                 0.1052,                 2.4634,                 4.9812,                 2.6107,             3.9272e-05,             0.00043227,             0.00043227,             0.00043227
                     11,                  2.111,                 3.6633,                 2.3269,                0.59274,                0.16162,                0.17126,                0.10043,                  2.423,                 5.4692,                 2.6087,             0.00014717,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.1432,                 3.3484,                 2.2554,                0.48918,                0.17208,                0.16457,                 0.0974,                 2.7928,                 6.5187,                 2.7219,              3.919e-05,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.1216,                 3.3674,                 2.2631,                0.42286,                0.18745,                0.18437,                0.11313,                 2.5377,                  5.012,                 2.5791,             7.4128e-05,             0.00040102,             0.00040102,             0.00040102
