                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6909,                  8.389,                 2.3858,                0.02202,                0.03588,                0.01313,                0.00743,                 2.2033,                 12.011,                 2.3108,                 2.0165,             0.00036552,             0.00036552,             0.00036552
                      2,                 2.5548,                 5.6207,                 2.2833,                0.45413,                0.05139,                0.03367,                 0.0145,                 2.3364,                 25.071,                 2.3357,                  3.297,             0.00072129,             0.00072129,             0.00072129
                      3,                 2.5467,                 4.9061,                 2.3056,                0.86126,                0.06094,                0.03408,                 0.0145,                 2.3387,                 39.306,                 2.2811,                 1.2606,              0.0010624,              0.0010624,              0.0010624
                      4,                 2.7475,                 4.1435,                 2.2619,                0.85372,                 0.0662,                 0.0298,                0.01358,                 2.4335,                 55.223,                 2.3496,                 4.9546,               0.001045,               0.001045,               0.001045
                      5,                 2.4117,                 4.2071,                 2.2251,                0.88081,                 0.0747,                0.05443,                0.02423,                  2.357,                 24.018,                 2.2642,                 2.2379,               0.001023,               0.001023,               0.001023
                      6,                 2.5082,                 3.7915,                  2.213,                0.91467,                0.07286,                0.07298,                0.02967,                 2.3807,                  10.38,                 2.2404,                   4.33,               0.001001,               0.001001,               0.001001
                      7,                 2.4216,                 3.5589,                 2.1818,                0.90237,                0.07829,                0.07554,                0.03388,                 2.3263,                 13.737,                 2.2651,                 2.5605,             0.00097901,             0.00097901,             0.00097901
                      8,                 2.3397,                 3.3008,                 2.1731,                0.90384,                0.08111,                0.07706,                 0.0349,                 2.4269,                 17.291,                 2.2568,                 1.5891,             0.00095702,             0.00095702,             0.00095702
                      9,                  2.304,                 3.2356,                 2.2009,                0.91976,                0.08237,                 0.0831,                0.04008,                 2.2346,                 8.8466,                 2.2162,                 3.9493,             0.00093502,             0.00093502,             0.00093502
                     10,                 2.4755,                 3.0827,                 2.2131,                0.91229,                0.08351,                0.13994,                0.06851,                 2.3571,                  11.29,                 2.2158,                 1.7787,             0.00091302,             0.00091302,             0.00091302
                     11,                 2.4332,                 3.0521,                 2.1999,                0.70835,                0.08502,                 0.1018,                0.04919,                 2.4936,                 16.501,                 2.2543,                 2.4312,             0.00089102,             0.00089102,             0.00089102
                     12,                  2.424,                 2.9654,                 2.1466,                0.51252,                0.08376,                0.08031,                0.04009,                 2.1231,                 13.462,                 2.1359,                 1.9526,             0.00086902,             0.00086902,             0.00086902
                     13,                 2.5647,                 2.8549,                 2.1096,                 0.1164,                0.08192,                0.07994,                0.03826,                 2.3015,                 14.242,                 2.1666,                 1.9746,             0.00084703,             0.00084703,             0.00084703
                     14,                 2.4544,                 2.7046,                  2.143,                 0.1131,                0.08616,                0.08058,                0.03799,                 2.2843,                 20.569,                 2.1746,                  6.427,             0.00082503,             0.00082503,             0.00082503
                     15,                 2.5275,                 2.8426,                 2.1428,                 0.1069,                 0.0801,                0.07342,                0.03514,                 2.4619,                 14.435,                 2.2412,                 2.2316,             0.00080303,             0.00080303,             0.00080303
                     16,                 2.4946,                 2.8002,                 2.1332,                0.12562,                0.08902,                0.08716,                0.04356,                 2.3623,                 13.316,                 2.1999,                 1.3188,             0.00078103,             0.00078103,             0.00078103
                     17,                 2.5092,                 2.8484,                 2.1724,                 0.1233,                0.08467,                0.08337,                0.04019,                 2.3285,                 12.341,                 2.1955,                 3.0738,             0.00075904,             0.00075904,             0.00075904
                     18,                 2.1866,                 2.5682,                 2.0997,                0.09718,                0.08226,                0.06657,                  0.033,                 2.3153,                 20.223,                 2.1472,                 2.2697,             0.00073704,             0.00073704,             0.00073704
