                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9774,                 19.712,                 2.5963,                0.04611,                0.14631,                0.03841,                0.02422,                 1.7342,                 7.1514,                 2.1366,                 1.0245,             0.00041474,             0.00041474,             0.00041474
                      2,                  2.131,                 15.238,                 2.2334,                0.19154,                0.30337,                0.18397,                0.09469,                 1.6858,                 7.0271,                 2.1573,                 1.3178,             0.00081494,             0.00081494,             0.00081494
                      3,                 2.3217,                 10.594,                 2.4094,                0.15137,                0.36063,                0.23433,                0.12498,                 1.9447,                  6.607,                 2.2003,                 1.0317,              0.0011986,              0.0011986,              0.0011986
                      4,                 2.3083,                 9.3412,                  2.305,                0.10953,                0.28291,                  0.138,                0.06522,                 1.9386,                 7.0268,                 2.2763,                 1.6486,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.4107,                  7.505,                 2.3865,                0.12076,                0.31911,                0.23581,                0.12534,                 2.0035,                 7.1021,                 2.2894,                 1.3461,               0.001151,               0.001151,               0.001151
                      6,                 2.4402,                 6.9651,                 2.3886,                0.08809,                0.31818,                0.17747,                0.09434,                 2.1536,                 6.6545,                 2.3074,                 2.0232,              0.0011263,              0.0011263,              0.0011263
                      7,                 2.3578,                  7.193,                 2.2891,                0.18898,                0.44222,                0.33507,                0.18411,                  2.067,                 6.2666,                 2.3115,                0.80999,              0.0011015,              0.0011015,              0.0011015
                      8,                 2.5776,                 6.4621,                 2.4361,                 0.1839,                 0.4893,                0.34902,                0.19019,                 2.1672,                 6.2349,                 2.3304,                 1.1063,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.5222,                 6.4032,                 2.3013,                0.20343,                0.39037,                0.30591,                0.16635,                 2.1121,                 6.7974,                 2.2957,                0.81685,               0.001052,               0.001052,               0.001052
                     10,                 2.5309,                 5.9731,                 2.3698,                0.17236,                0.47252,                0.30718,                0.15507,                 2.2663,                 5.9247,                 2.3627,                  1.453,              0.0010273,              0.0010273,              0.0010273
