                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.961,                 19.711,                 2.5997,                0.05399,                0.16024,                0.04681,                0.02962,                 1.7395,                  7.155,                 2.1366,                 0.3078,             0.00041474,             0.00041474,             0.00041474
                      2,                 2.0979,                 15.252,                 2.2141,                0.10661,                0.30891,                0.16278,                0.08301,                 1.7146,                 6.9764,                 2.1649,                0.43356,             0.00081494,             0.00081494,             0.00081494
                      3,                 2.3351,                 10.442,                 2.2821,                0.14804,                0.35264,                0.19364,                 0.0938,                 1.8366,                 6.5937,                 2.1752,                0.33838,              0.0011986,              0.0011986,              0.0011986
                      4,                 2.4076,                 9.3911,                 2.4302,                0.19645,                0.32144,                0.26197,                0.13406,                 1.9092,                 6.8573,                 2.2982,                0.69113,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.3913,                 7.6784,                 2.5171,                0.46068,                0.17644,                 0.1889,                0.09281,                 2.1694,                 6.8104,                  2.413,                0.43874,               0.001151,               0.001151,               0.001151
                      6,                 2.5079,                 7.1245,                  2.457,                0.65536,                0.13663,                0.20999,                0.10083,                 2.1991,                 6.6873,                 2.3825,                0.69878,              0.0011263,              0.0011263,              0.0011263
