                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 2.0141,                 1.7532,                 1.9734,                0.63799,                0.47174,                0.52916,                0.30678,                 3.2699,                 2.4838,                 2.1915,                0.20179,             0.00042907,             0.00042907,             0.00042907
                     33,                 2.1289,                 1.8436,                 1.9792,                0.63147,                0.46567,                0.52706,                0.30254,                 3.3761,                 2.4623,                 2.1965,              0.0085449,             0.00040707,             0.00040707,             0.00040707
                     34,                 2.1228,                 1.7891,                 1.9496,                0.64223,                0.46142,                 0.5299,                0.31056,                 3.3853,                 2.5388,                  2.186,               0.027525,             0.00038507,             0.00038507,             0.00038507
                     35,                 2.1187,                 1.7577,                  1.969,                0.64518,                0.46711,                0.53343,                0.31554,                 3.2192,                 2.4688,                 2.1659,               0.039338,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.9374,                 1.7831,                 1.9679,                0.64779,                0.46961,                0.53857,                 0.3152,                 3.3476,                 2.5017,                 2.1714,                0.03692,             0.00034108,             0.00034108,             0.00034108
                     37,                 2.0375,                 1.7639,                 1.9541,                0.64086,                0.46904,                0.53268,                0.31543,                 3.3028,                 2.4613,                 2.1636,              0.0058295,             0.00031908,             0.00031908,             0.00031908
                     38,                 2.1987,                 1.7286,                 1.9314,                0.64167,                0.47294,                0.53574,                0.31366,                 3.4126,                 2.4614,                 2.1749,               0.068849,             0.00029708,             0.00029708,             0.00029708
                     39,                  2.073,                 1.6889,                 1.9602,                0.63975,                0.47126,                0.53585,                0.32026,                 3.3129,                 2.4359,                  2.151,               0.039062,             0.00027508,             0.00027508,             0.00027508
                     40,                 2.1813,                 1.7026,                 1.9383,                0.64192,                0.46535,                0.52891,                 0.3091,                 3.4516,                 2.4311,                 2.1794,               0.030746,             0.00025309,             0.00025309,             0.00025309
                     41,                 2.0951,                 1.8741,                 2.0137,                0.64192,                0.46107,                0.53042,                0.31327,                 3.4094,                 2.5241,                 2.1759,               0.012207,             0.00023109,             0.00023109,             0.00023109
                     42,                 2.0417,                 1.7748,                 2.0343,                0.63189,                0.47174,                0.53565,                0.32107,                 3.3743,                 2.4629,                 2.1431,                0.02164,             0.00020909,             0.00020909,             0.00020909
                     43,                 2.0916,                 1.8261,                  2.021,                0.64448,                0.46232,                0.53404,                0.31978,                 3.4508,                 2.5079,                  2.164,               0.056966,             0.00018709,             0.00018709,             0.00018709
                     44,                 2.0492,                 1.7821,                  1.993,                0.64447,                0.46852,                0.53831,                0.32084,                  3.473,                 2.4937,                 2.1496,               0.015788,             0.00016509,             0.00016509,             0.00016509
                     45,                 2.0952,                 1.7683,                 1.9893,                0.63532,                0.47355,                0.53552,                0.32176,                 3.4453,                 2.4314,                 2.1458,               0.016339,              0.0001431,              0.0001431,              0.0001431
                     46,                 2.0407,                 1.7673,                 1.9804,                0.64408,                0.46699,                0.53559,                0.32274,                 3.4919,                 2.4634,                  2.147,               0.010463,              0.0001211,              0.0001211,              0.0001211
                     47,                 2.0942,                 1.8211,                 1.9895,                0.63677,                 0.4685,                0.53416,                0.31986,                 3.5244,                 2.5038,                 2.1553,               0.033203,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 2.2158,                 1.8481,                 1.9834,                0.63229,                0.46976,                0.53564,                0.31931,                 3.5612,                  2.538,                 2.1559,              0.0080872,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 2.1128,                 1.7402,                 1.9925,                0.63911,                0.46636,                0.53684,                0.32325,                 3.5539,                 2.5185,                 2.1554,               0.018538,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                  2.181,                 1.7274,                 1.9857,                 0.6449,                0.46599,                0.53773,                 0.3235,                 3.5711,                 2.5194,                 2.1529,               0.031967,             3.3108e-05,             3.3108e-05,             3.3108e-05
