                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9632,                 19.733,                   2.59,                0.05018,                0.14797,                0.04052,                0.02566,                 1.6982,                 7.1448,                 2.1308,                 1.8232,             0.00041474,             0.00041474,             0.00041474
                      2,                 2.1284,                 15.146,                 2.2015,                0.16167,                0.29176,                0.16183,                0.08055,                 1.7232,                 7.0569,                 2.1818,                 1.8628,             0.00081494,             0.00081494,             0.00081494
                      3,                 2.3537,                 10.708,                 2.3313,                0.13541,                0.36482,                0.23405,                0.12783,                 1.8814,                 6.5411,                 2.1995,                 1.6801,              0.0011986,              0.0011986,              0.0011986
                      4,                 2.3685,                  9.443,                  2.392,                 0.1748,                0.36408,                0.25087,                0.12546,                 1.8932,                  6.583,                 2.3074,                 2.6426,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.4599,                 7.6988,                 2.4385,                0.10823,                0.32371,                0.21661,                0.10774,                 2.2331,                 6.8322,                 2.4021,                 2.6779,               0.001151,               0.001151,               0.001151
                      6,                 2.5352,                 7.1595,                 2.4543,                0.65312,                0.12965,                0.19193,                0.09197,                 2.0864,                 6.6923,                 2.3444,                 3.4156,              0.0011263,              0.0011263,              0.0011263
                      7,                  2.347,                 7.2001,                 2.3201,                0.21207,                0.42366,                0.32653,                0.17675,                 1.9771,                 6.3773,                 2.2942,                 1.2459,              0.0011015,              0.0011015,              0.0011015
                      8,                 2.6021,                 6.6395,                 2.4647,                0.16655,                0.44279,                0.34075,                0.18368,                 2.0959,                 6.0654,                 2.3381,                 1.9926,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.4377,                 6.5085,                 2.2932,                0.26341,                0.40986,                0.35302,                0.19762,                 2.0726,                 6.4763,                 2.3035,                 1.2065,               0.001052,               0.001052,               0.001052
                     10,                 2.5191,                 6.0555,                   2.35,                0.16175,                0.45279,                0.30541,                0.16194,                 2.2202,                 5.7405,                 2.3363,                 1.7475,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.5678,                 6.1942,                 2.3325,                0.18882,                0.41754,                0.32124,                 0.1833,                 2.3718,                 6.1744,                 2.3312,                 2.9234,              0.0010025,              0.0010025,              0.0010025
