Epoch 1
  level=P3 cls=1 hits=0:574
  level=P3 cls=2 hits=0:195
  level=P3 cls=3 hits=0:15
  level=P4 cls=0 hits=0:3
  level=P4 cls=1 hits=0:176
  level=P4 cls=2 hits=0:30
  level=P4 cls=3 hits=0:6
Epoch 16
  level=P2 cls=0 hits=0:1858
  level=P2 cls=1 hits=0:1345
  level=P2 cls=2 hits=0:1564
  level=P2 cls=3 hits=0:97
  level=P3 cls=0 hits=0:90
  level=P3 cls=1 hits=0:1152
  level=P3 cls=2 hits=0:248
  level=P3 cls=3 hits=0:21
  level=P4 cls=1 hits=0:133
  level=P4 cls=2 hits=0:64
  level=P4 cls=3 hits=0:6
Epoch 17
  level=P2 cls=0 hits=0:2672
  level=P2 cls=1 hits=0:1240
  level=P2 cls=2 hits=0:1492
  level=P2 cls=3 hits=0:102
  level=P3 cls=0 hits=0:87
  level=P3 cls=1 hits=0:623
  level=P3 cls=2 hits=0:184
  level=P3 cls=3 hits=0:20
  level=P4 cls=0 hits=0:2
  level=P4 cls=1 hits=0:184
  level=P4 cls=2 hits=0:41
  level=P4 cls=3 hits=0:7
Epoch 18
  level=P2 cls=0 hits=0:2024
  level=P2 cls=1 hits=0:1289
  level=P2 cls=2 hits=0:2287
  level=P2 cls=3 hits=0:94
  level=P3 cls=0 hits=0:130
  level=P3 cls=1 hits=0:966
  level=P3 cls=2 hits=0:195
  level=P3 cls=3 hits=0:58
  level=P4 cls=0 hits=0:3
  level=P4 cls=1 hits=0:244
  level=P4 cls=2 hits=0:50
  level=P4 cls=3 hits=0:1
Epoch 19
  level=P2 cls=0 hits=0:3079
  level=P2 cls=1 hits=0:1002
  level=P2 cls=2 hits=0:2361
  level=P2 cls=3 hits=0:450
  level=P3 cls=0 hits=0:188
  level=P3 cls=1 hits=0:710
  level=P3 cls=2 hits=0:104
  level=P3 cls=3 hits=0:7
  level=P4 cls=1 hits=0:230
  level=P4 cls=2 hits=0:48
  level=P4 cls=3 hits=0:3
Epoch 20
  level=P2 cls=0 hits=0:2258
  level=P2 cls=1 hits=0:1569
  level=P2 cls=2 hits=0:2082
  level=P2 cls=3 hits=0:348
  level=P3 cls=0 hits=0:102
  level=P3 cls=1 hits=0:679
  level=P3 cls=2 hits=0:268
  level=P3 cls=3 hits=0:27
  level=P4 cls=0 hits=0:1
  level=P4 cls=1 hits=0:174
  level=P4 cls=2 hits=0:64
Epoch 21
  level=P2 cls=0 hits=0:2235
  level=P2 cls=1 hits=0:1142
  level=P2 cls=2 hits=0:1940
  level=P2 cls=3 hits=0:412
  level=P3 cls=0 hits=0:126
  level=P3 cls=1 hits=0:912
  level=P3 cls=2 hits=0:203
  level=P3 cls=3 hits=0:49
  level=P4 cls=1 hits=0:129
  level=P4 cls=2 hits=0:68
  level=P4 cls=3 hits=0:1
Epoch 22
  level=P2 cls=0 hits=0:3812
  level=P2 cls=1 hits=0:1206
  level=P2 cls=2 hits=0:3029
  level=P2 cls=3 hits=0:104
  level=P3 cls=0 hits=0:48
  level=P3 cls=1 hits=0:578
  level=P3 cls=2 hits=0:202
  level=P3 cls=3 hits=0:28
  level=P4 cls=0 hits=0:2
  level=P4 cls=1 hits=0:90
  level=P4 cls=2 hits=0:14
Epoch 23
  level=P2 cls=0 hits=0:2454
  level=P2 cls=1 hits=0:1777
  level=P2 cls=2 hits=0:2348
  level=P2 cls=3 hits=0:301
  level=P3 cls=0 hits=0:113
  level=P3 cls=1 hits=0:552
  level=P3 cls=2 hits=0:197
  level=P3 cls=3 hits=0:7
  level=P4 cls=1 hits=0:141
  level=P4 cls=2 hits=0:53
Epoch 24
  level=P2 cls=0 hits=0:3023
  level=P2 cls=1 hits=0:888
  level=P2 cls=2 hits=0:1575
  level=P2 cls=3 hits=0:57
  level=P3 cls=0 hits=0:118
  level=P3 cls=1 hits=0:910
  level=P3 cls=2 hits=0:107
  level=P3 cls=3 hits=0:7
  level=P4 cls=0 hits=0:1
  level=P4 cls=1 hits=0:157
  level=P4 cls=2 hits=0:54
  level=P4 cls=3 hits=0:1
Epoch 25
  level=P2 cls=0 hits=0:2931
  level=P2 cls=1 hits=0:959
  level=P2 cls=2 hits=0:2334
  level=P2 cls=3 hits=0:120
  level=P3 cls=0 hits=0:99
  level=P3 cls=1 hits=0:496
  level=P3 cls=2 hits=0:265
  level=P3 cls=3 hits=0:15
  level=P4 cls=0 hits=0:1
  level=P4 cls=1 hits=0:168
  level=P4 cls=2 hits=0:52
Epoch 26
  level=P2 cls=0 hits=0:2670
  level=P2 cls=1 hits=0:2106
  level=P2 cls=2 hits=0:2074
  level=P2 cls=3 hits=0:339
  level=P3 cls=0 hits=0:92
  level=P3 cls=1 hits=0:1115
  level=P3 cls=2 hits=0:118
  level=P3 cls=3 hits=0:53
  level=P4 cls=0 hits=0:3
  level=P4 cls=1 hits=0:132
  level=P4 cls=2 hits=0:38
  level=P4 cls=3 hits=0:7
Epoch 27
  level=P2 cls=0 hits=0:2447
  level=P2 cls=1 hits=0:1386
  level=P2 cls=2 hits=0:897
  level=P2 cls=3 hits=0:67
  level=P3 cls=0 hits=0:112
  level=P3 cls=1 hits=0:681
  level=P3 cls=2 hits=0:280
  level=P3 cls=3 hits=0:48
  level=P4 cls=0 hits=0:2
  level=P4 cls=1 hits=0:116
  level=P4 cls=2 hits=0:59
  level=P4 cls=3 hits=0:4
Epoch 28
  level=P2 cls=0 hits=0:3947
  level=P2 cls=1 hits=0:1284
  level=P2 cls=2 hits=0:3969
  level=P2 cls=3 hits=0:454
  level=P3 cls=0 hits=0:272
  level=P3 cls=1 hits=0:791
  level=P3 cls=2 hits=0:91
  level=P3 cls=3 hits=0:1
  level=P4 cls=0 hits=0:6
  level=P4 cls=1 hits=0:141
  level=P4 cls=2 hits=0:37
  level=P4 cls=3 hits=0:2
Epoch 29
  level=P2 cls=0 hits=0:1814
  level=P2 cls=1 hits=0:1288
  level=P2 cls=2 hits=0:1956
  level=P2 cls=3 hits=0:43
  level=P3 cls=0 hits=0:217
  level=P3 cls=1 hits=0:613
  level=P3 cls=2 hits=0:216
  level=P3 cls=3 hits=0:11
  level=P4 cls=1 hits=0:127
  level=P4 cls=2 hits=0:41
  level=P4 cls=3 hits=0:2
Epoch 30
  level=P2 cls=0 hits=0:2956
  level=P2 cls=1 hits=0:995
  level=P2 cls=2 hits=0:2249
  level=P2 cls=3 hits=0:59
  level=P3 cls=0 hits=0:78
  level=P3 cls=1 hits=0:873
  level=P3 cls=2 hits=0:204
  level=P3 cls=3 hits=0:83
  level=P4 cls=0 hits=0:10
  level=P4 cls=1 hits=0:202
  level=P4 cls=2 hits=0:33
  level=P4 cls=3 hits=0:2
Epoch 31
  level=P2 cls=0 hits=0:2612
  level=P2 cls=1 hits=0:1482
  level=P2 cls=2 hits=0:1212
  level=P2 cls=3 hits=0:47
  level=P3 cls=0 hits=0:191
  level=P3 cls=1 hits=0:303
  level=P3 cls=2 hits=0:159
  level=P3 cls=3 hits=0:28
  level=P4 cls=0 hits=0:9
  level=P4 cls=1 hits=0:149
  level=P4 cls=2 hits=0:59
  level=P4 cls=3 hits=0:2
Epoch 32
  level=P2 cls=0 hits=0:2594
  level=P2 cls=1 hits=0:2302
  level=P2 cls=2 hits=0:2954
  level=P2 cls=3 hits=0:897
  level=P3 cls=0 hits=0:209
  level=P3 cls=1 hits=0:943
  level=P3 cls=2 hits=0:258
  level=P3 cls=3 hits=0:42
  level=P4 cls=0 hits=0:1
  level=P4 cls=1 hits=0:128
  level=P4 cls=2 hits=0:36
  level=P4 cls=3 hits=0:3
Epoch 33
  level=P2 cls=0 hits=0:3563
