                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 2.4501,                 2.4384,                 2.0432,                0.71932,                0.42128,                0.44777,                0.24138,                 2.4075,                 2.8408,                 2.2043,                0.15857,             0.00042907,             0.00042907,             0.00042907
                     33,                 2.6203,                 2.5385,                 2.0658,                0.75591,                 0.4184,                0.45404,                0.24798,                 2.4206,                 2.5861,                 2.1843,               0.086313,             0.00040707,             0.00040707,             0.00040707
                     34,                 2.3767,                 2.3542,                 2.0206,                0.74609,                0.40615,                0.44351,                0.24351,                 2.4313,                 2.6597,                 2.1886,                0.12751,             0.00038507,             0.00038507,             0.00038507
                     35,                 2.4066,                 2.3907,                 2.0168,                0.74652,                0.40894,                0.44224,                0.23973,                 2.5927,                 2.6789,                 2.2066,               0.073383,             0.00036307,             0.00036307,             0.00036307
                     36,                 2.5278,                 2.2992,                 1.9822,                0.74664,                0.42003,                0.45589,                0.24491,                 2.5203,                 2.5917,                 2.1932,               0.042819,             0.00034108,             0.00034108,             0.00034108
                     37,                 2.3852,                 2.3312,                 2.0538,                0.74788,                   0.42,                0.45932,                0.25176,                 2.4327,                 2.5497,                 2.1719,               0.050369,             0.00031908,             0.00031908,             0.00031908
                     38,                 2.4085,                 2.2169,                 2.0111,                0.75221,                0.42348,                0.46114,                0.25109,                 2.5554,                 2.6611,                 2.2009,               0.057412,             0.00029708,             0.00029708,             0.00029708
                     39,                 2.6431,                 2.3379,                  2.015,                 0.7613,                0.42784,                 0.4684,                0.25475,                 2.5734,                 2.6913,                 2.2013,               0.084276,             0.00027508,             0.00027508,             0.00027508
                     40,                 2.5004,                 2.2922,                 2.0162,                0.77673,                0.43426,                0.47655,                0.26317,                 2.5611,                 2.6252,                 2.1983,                0.15685,             0.00025309,             0.00025309,             0.00025309
                     41,                 2.8212,                 2.9492,                 2.1481,                0.74855,                0.42355,                0.45629,                0.25074,                 2.6868,                 2.6667,                  2.216,               0.050128,             0.00023109,             0.00023109,             0.00023109
                     42,                 2.4134,                 2.5606,                 2.1597,                0.75675,                0.41552,                0.45432,                0.24958,                 2.5866,                 2.6441,                 2.1916,                0.12794,             0.00020909,             0.00020909,             0.00020909
                     43,                 2.6537,                 2.6339,                 2.1085,                 0.7435,                0.41365,                 0.4446,                0.24216,                 2.6695,                 2.7465,                  2.201,               0.043407,             0.00018709,             0.00018709,             0.00018709
                     44,                 2.4945,                 2.4409,                 2.0897,                0.75774,                0.41064,                0.45885,                0.25135,                 2.6526,                 2.6089,                 2.1896,               0.075371,             0.00016509,             0.00016509,             0.00016509
                     45,                 2.5211,                 2.5388,                 2.1308,                 0.7626,                0.42116,                0.47038,                0.25671,                 2.6471,                 2.5501,                 2.1952,                0.11358,              0.0001431,              0.0001431,              0.0001431
                     46,                 2.5313,                 2.4838,                 2.1102,                0.76646,                0.41813,                 0.4645,                0.25135,                 2.7402,                 2.5879,                 2.2093,                0.01888,              0.0001211,              0.0001211,              0.0001211
                     47,                 2.6684,                 2.6807,                 2.0976,                0.76087,                0.42137,                0.46132,                0.25122,                 2.6932,                  2.609,                  2.196,               0.056682,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 2.6034,                 2.6027,                 2.1097,                0.77042,                0.42634,                0.47149,                0.26106,                 2.6306,                 2.5419,                 2.1817,                0.13834,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 2.4798,                 2.5059,                 2.0882,                0.77284,                0.42663,                0.47345,                0.26189,                 2.6634,                 2.5236,                 2.1853,                0.08111,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 2.6494,                  2.503,                 2.0885,                0.76753,                0.42908,                0.47235,                0.26015,                 2.7209,                 2.5476,                 2.1919,               0.035428,             3.3108e-05,             3.3108e-05,             3.3108e-05
