                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5335,                 13.219,                 2.2202,                0.09654,                0.21488,                0.12445,                0.07331,                 1.9599,                 7.1965,                 2.2252,                0.50584,             0.00036862,             0.00036862,             0.00036862
                      2,                 2.5983,                 8.1761,                 2.2642,                0.17298,                0.29186,                0.24689,                0.11569,                 2.3167,                 5.5978,                 2.3019,                 1.0664,             0.00072432,             0.00072432,             0.00072432
                      3,                 2.6414,                 8.3141,                 2.2624,                0.16832,                0.41389,                0.31156,                0.14805,                 2.1972,                 5.4979,                 2.2981,                0.71052,              0.0010654,              0.0010654,              0.0010654
                      4,                 2.7129,                 7.3215,                 2.2315,                 0.7164,                 0.2047,                0.28917,                0.13754,                 2.1771,                 4.9611,                 2.2833,                0.71306,               0.001045,               0.001045,               0.001045
                      5,                 2.6486,                 7.3384,                 2.2004,                0.17588,                 0.3879,                0.30219,                0.14416,                 2.3637,                 5.7578,                 2.3598,                 0.9794,               0.001023,               0.001023,               0.001023
                      6,                  2.762,                 6.3679,                 2.2411,                0.17183,                 0.4069,                0.28383,                0.14776,                  2.284,                 5.4353,                 2.3353,                 0.9198,               0.001001,               0.001001,               0.001001
                      7,                 2.7241,                 5.7903,                  2.248,                0.17447,                0.47784,                0.32211,                0.16526,                 2.2569,                 5.1147,                 2.3203,                0.76231,             0.00097901,             0.00097901,             0.00097901
                      8,                 2.7527,                 6.1514,                 2.2666,                0.17849,                0.47144,                0.32555,                0.15221,                 2.5463,                 4.8875,                 2.3752,                0.62307,             0.00095702,             0.00095702,             0.00095702
                      9,                 2.8507,                 5.0729,                 2.2362,                0.41431,                0.30852,                0.34861,                0.17587,                  2.545,                 4.3216,                 2.3452,                0.67432,             0.00093502,             0.00093502,             0.00093502
                     10,                 3.0566,                 6.8878,                 2.2517,                0.19608,                0.50971,                0.38886,                0.20258,                 2.3333,                 4.8528,                 2.2881,                0.86787,             0.00091302,             0.00091302,             0.00091302
                     11,                 2.9785,                 5.5305,                 2.1996,                0.47359,                0.32036,                0.36883,                0.19101,                   2.43,                 4.4115,                 2.3028,                0.89583,             0.00089102,             0.00089102,             0.00089102
                     12,                 2.9508,                 4.9408,                  2.221,                0.19515,                0.49432,                0.39226,                0.20288,                 2.4503,                 4.6252,                 2.2777,                0.49959,             0.00086902,             0.00086902,             0.00086902
                     13,                 2.8556,                 5.9238,                 2.1841,                 0.2606,                0.40338,                0.32051,                0.15568,                 2.6591,                 4.7411,                 2.3278,                 2.0198,             0.00084703,             0.00084703,             0.00084703
                     14,                 2.9484,                 5.7899,                 2.2563,                0.17072,                 0.5152,                0.36459,                 0.1803,                 2.6551,                 4.5713,                 2.3056,                0.60262,             0.00082503,             0.00082503,             0.00082503
                     15,                 2.7706,                 5.1831,                 2.1658,                0.30942,                0.43666,                0.38914,                0.20034,                  2.545,                 4.0394,                 2.2641,                 1.0396,             0.00080303,             0.00080303,             0.00080303
                     16,                  2.997,                 5.3479,                 2.1509,                0.53658,                0.37887,                0.34122,                0.16679,                 2.6248,                 4.5151,                 2.2719,                0.73837,             0.00078103,             0.00078103,             0.00078103
                     17,                 3.1369,                 4.9771,                 2.2093,                 0.2101,                 0.5388,                 0.4115,                 0.2155,                 2.5835,                 4.6379,                 2.2713,                 0.4529,             0.00075904,             0.00075904,             0.00075904
                     18,                 3.0191,                 4.4889,                 2.2119,                0.54653,                0.36409,                0.38297,                0.19118,                 2.7973,                 4.1297,                  2.291,                0.72636,             0.00073704,             0.00073704,             0.00073704
                     19,                  3.253,                 5.5846,                 2.2311,                0.25327,                0.43442,                0.36134,                0.18802,                 2.8735,                  5.628,                 2.3167,                0.64909,             0.00071504,             0.00071504,             0.00071504
                     20,                 3.0789,                 5.2863,                 2.1079,                0.28592,                 0.4341,                0.34491,                0.17794,                 2.8694,                  4.563,                 2.3108,                0.50262,             0.00069304,             0.00069304,             0.00069304
                     21,                  3.248,                 4.8379,                 2.1688,                0.62913,                0.33813,                0.37519,                0.18655,                 2.8413,                 4.2734,                 2.2875,                0.39559,             0.00067104,             0.00067104,             0.00067104
                     22,                 3.1765,                 4.3489,                 2.2099,                0.52393,                0.31602,                0.41563,                0.22103,                 2.9328,                 4.5256,                 2.2964,                0.62065,             0.00064905,             0.00064905,             0.00064905
                     23,                  3.213,                  4.246,                 2.1617,                0.20914,                0.52289,                0.40086,                0.21543,                 2.8561,                 4.5548,                 2.2683,                0.44146,             0.00062705,             0.00062705,             0.00062705
                     24,                 3.2115,                 5.0856,                 2.1444,                0.22569,                0.49627,                0.37435,                 0.1966,                 2.9319,                 4.8055,                 2.2835,                0.92055,             0.00060505,             0.00060505,             0.00060505
                     25,                 3.3593,                 4.5299,                 2.1439,                0.25213,                0.44259,                0.35364,                0.18317,                  2.943,                 5.7274,                 2.2877,                0.63365,             0.00058305,             0.00058305,             0.00058305
                     26,                 3.3631,                  5.064,                 2.1684,                0.21637,                0.51814,                0.39465,                0.21048,                 2.9779,                 4.7204,                 2.2881,                0.38381,             0.00056105,             0.00056105,             0.00056105
                     27,                 3.3394,                 4.5928,                 2.1628,                0.21056,                0.52795,                0.40692,                0.20938,                 3.0177,                 4.5174,                 2.2752,                0.41335,             0.00053906,             0.00053906,             0.00053906
                     28,                 3.4492,                 4.6804,                 2.1557,                0.23786,                 0.5087,                0.39735,                0.20875,                 3.0947,                 4.9548,                  2.301,                0.42278,             0.00051706,             0.00051706,             0.00051706
                     29,                 3.3519,                 4.4497,                 2.1737,                0.70749,                0.31033,                0.39429,                0.20561,                 3.1113,                 4.1481,                  2.292,                0.39355,             0.00049506,             0.00049506,             0.00049506
                     30,                 3.2662,                 4.1156,                  2.112,                 0.7142,                0.32018,                0.40913,                0.21581,                 3.0587,                 4.2143,                 2.2848,                0.41138,             0.00047306,             0.00047306,             0.00047306
                     31,                 3.3987,                 3.9261,                 2.1183,                0.65807,                0.35824,                0.39806,                0.20707,                 3.0915,                 3.8704,                 2.2651,                0.94058,             0.00045107,             0.00045107,             0.00045107
                     32,                 3.3535,                 3.9686,                 2.1568,                0.41134,                0.40546,                 0.4019,                0.21161,                 3.1859,                 4.2308,                 2.2801,                0.09375,             0.00042907,             0.00042907,             0.00042907
                     33,                 3.5051,                 4.0014,                 2.1287,                0.56235,                0.36822,                0.38566,                 0.1927,                 3.3585,                 4.2313,                  2.294,                 1.1797,             0.00040707,             0.00040707,             0.00040707
                     34,                 3.5779,                 4.5727,                 2.1218,                0.21108,                0.50957,                0.36213,                0.19254,                 3.2394,                 4.6095,                 2.2724,                0.70921,             0.00038507,             0.00038507,             0.00038507
                     35,                 3.3616,                  4.802,                 2.1218,                0.39083,                0.42724,                0.39921,                0.21513,                 3.0742,                 4.2753,                 2.2323,                0.80039,             0.00036307,             0.00036307,             0.00036307
                     36,                 3.3308,                 4.4969,                 2.1077,                0.57036,                0.35807,                 0.4074,                0.21159,                 3.2256,                 4.3529,                 2.2502,                0.51465,             0.00034108,             0.00034108,             0.00034108
                     37,                 3.5023,                 4.6178,                  2.097,                0.68963,                0.29509,                0.37424,                0.19805,                 3.2568,                 4.5205,                 2.2634,                0.42623,             0.00031908,             0.00031908,             0.00031908
                     38,                 3.5454,                 3.6843,                 2.1108,                0.43592,                0.35109,                0.39088,                0.20511,                 3.2628,                  3.979,                 2.2504,                0.57137,             0.00029708,             0.00029708,             0.00029708
                     39,                 3.4714,                 4.2746,                  2.117,                0.25226,                0.52613,                0.40255,                0.22088,                 3.2338,                 4.7492,                 2.2523,                 1.9467,             0.00027508,             0.00027508,             0.00027508
