                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      train/replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.67,                 7.6556,                  2.128,                0.54295,                0.17451,                0.18658,                0.11167,                 2.7801,                 5.1419,                 2.1044,                0.30446,             0.00041461,             0.00041461,             0.00041461
                      2,                 1.5489,                 4.1831,                 2.0101,                0.56929,                0.27035,                0.25719,                0.14919,                 2.6609,                 3.3865,                 2.1619,                0.53629,             0.00081482,             0.00081482,             0.00081482
                      3,                 1.4281,                 3.4243,                 2.0497,                0.69904,                0.29197,                0.28968,                0.16224,                 2.7431,                 3.4388,                 2.2116,                0.42642,              0.0011985,              0.0011985,              0.0011985
                      4,                 1.4201,                 3.1227,                 2.0442,                 0.4661,                0.30175,                0.33652,                0.18641,                 2.7691,                 3.4335,                  2.189,                0.41542,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.4869,                 2.9104,                  2.047,                 0.4142,                0.30805,                  0.304,                0.17341,                 2.7458,                 3.2317,                 2.1691,                0.33222,               0.001151,               0.001151,               0.001151
                      6,                  1.495,                 2.8956,                 2.0686,                0.45351,                 0.2917,                0.31526,                0.17317,                 3.0893,                    3.2,                 2.2434,                0.24118,              0.0011263,              0.0011263,              0.0011263
