                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4593,                 9.4171,                 2.4138,                0.61506,                0.14246,                0.06836,                 0.0287,                 2.2596,                 5.8034,                  2.434,                      1,             0.00017434,             0.00017434,             0.00017434
                      2,                 2.2409,                 5.5853,                 2.2727,                0.19212,                 0.1864,                0.15151,                0.08419,                  1.937,                 5.2372,                 2.3066,                      1,             0.00028044,             0.00028044,             0.00028044
                      3,                 2.0328,                 4.3548,                 2.2413,                0.22461,                0.21574,                0.18858,                0.10291,                  1.872,                 4.8007,                 2.3285,                      1,             0.00031711,             0.00031711,             0.00031711
                      4,                 1.9781,                 4.1445,                 2.2634,                0.24761,                0.23436,                0.21465,                0.12556,                 1.8533,                 3.9855,                 2.2687,                      1,             0.00021356,             0.00021356,             0.00021356
                      5,                 1.8942,                   3.75,                  2.201,                0.27004,                0.24748,                0.23597,                0.13956,                 1.8143,                 3.5532,                 2.2266,                      1,             0.00010941,             0.00010941,             0.00010941
