                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.7279,                 1.9115,                 2.0445,                0.86049,                0.47513,                0.54481,                0.32644,                 2.7888,                 3.2305,                 2.1112,                  0.361,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.8858,                 2.0052,                 2.0215,                0.57585,                0.49682,                0.54402,                0.32384,                 2.8847,                 3.3626,                 2.1265,                 1.3122,               0.000458,               0.000458,               0.000458
                     34,                 1.8497,                 1.9172,                 2.0065,                 0.8649,                0.47508,                0.54706,                0.33335,                 2.8031,                 2.3082,                 2.0919,                0.70434,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.8519,                  1.948,                 2.0555,                0.85678,                0.47973,                 0.5505,                0.33681,                 2.8081,                 2.6995,                 2.0891,                 0.7829,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.8525,                 1.9318,                 2.0138,                0.85609,                 0.4764,                0.54226,                0.33112,                 2.8361,                 2.3449,                 2.0902,                 1.5272,             0.00038375,             0.00038375,             0.00038375
                     37,                  1.848,                 1.8704,                  2.013,                0.86918,                0.48261,                0.54713,                0.33721,                 2.8233,                 2.4566,                 2.0818,                 3.5194,               0.000359,               0.000359,               0.000359
                     38,                 1.9349,                 1.8142,                 1.9847,                0.86287,                0.48201,                0.54769,                0.32845,                 2.9153,                 2.6613,                 2.0955,                0.56035,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.8686,                 1.9204,                 2.0062,                 0.8621,                0.48141,                0.54128,                0.32679,                 2.9167,                 2.5548,                 2.0884,                0.59964,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.9856,                  1.867,                 2.0223,                0.85549,                0.48218,                0.54922,                0.33592,                 2.9409,                 2.5351,                 2.0883,                 0.5691,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.9093,                 2.3948,                 2.0116,                0.86404,                0.46815,                0.53955,                0.33433,                 2.9825,                 2.5616,                 2.0942,                 0.4497,                0.00026,                0.00026,                0.00026
                     42,                 1.9494,                 2.2964,                 2.0356,                0.86294,                0.47508,                0.54128,                0.33217,                 3.0114,                  2.446,                 2.0985,                 1.0577,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.9356,                 2.2899,                 2.0314,                0.86947,                0.47514,                0.54054,                 0.3381,                 2.9668,                 2.4499,                 2.0812,                0.88094,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.8746,                 2.2922,                 2.0083,                 0.8523,                0.47234,                0.54085,                0.32536,                 3.0834,                 3.0047,                 2.0937,                 1.7836,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.9011,                 2.0178,                 1.9902,                0.85935,                0.48061,                0.54029,                0.33399,                 2.9887,                 2.9167,                 2.0736,                0.45679,               0.000161,               0.000161,               0.000161
                     46,                 1.9498,                 2.0444,                 1.9629,                0.86192,                0.47725,                0.54764,                0.33585,                 3.0714,                 2.6692,                 2.0824,                 1.4855,             0.00013625,             0.00013625,             0.00013625
                     47,                 2.0063,                 2.1068,                 1.9848,                0.86021,                0.47225,                0.54152,                0.33119,                 3.0594,                 2.8324,                 2.0866,                0.39846,              0.0001115,              0.0001115,              0.0001115
                     48,                 2.0019,                 2.1371,                 1.9653,                 0.8642,                0.48159,                0.54801,                 0.3398,                 3.0698,                 2.5802,                 2.0767,                0.33077,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 2.0454,                 2.0294,                 2.0506,                0.86423,                 0.4778,                0.55083,                0.34071,                 3.0885,                  2.412,                 2.0775,                0.63403,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.9546,                 1.9526,                 2.0226,                0.61709,                0.51726,                0.55583,                0.34563,                 3.1001,                 2.3935,                 2.0778,                 1.0102,              3.725e-05,              3.725e-05,              3.725e-05
