                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2494,                 12.708,                 2.3375,                0.64546,                0.03872,                0.02942,                0.01352,                 1.7972,                 4.9566,                 2.0316,               0.018804,             0.00017484,             0.00017484,             0.00017484
                      2,                 2.2433,                 7.1186,                 2.2886,                0.45832,                 0.0475,                0.04302,                0.02273,                 1.9137,                 7.9636,                 2.0887,                0.12857,             0.00034324,             0.00034324,             0.00034324
                      3,                 2.2449,                 6.1723,                 2.3245,                0.85468,                0.05474,                0.04279,                0.02248,                 1.8576,                 7.1026,                 2.0862,                 0.1857,             0.00050469,             0.00050469,             0.00050469
                      4,                 2.0998,                 6.7067,                  2.241,                0.60006,                0.06153,                0.04999,                0.02682,                  1.902,                 6.5272,                  2.077,                0.10152,             0.00049476,             0.00049476,             0.00049476
                      5,                 2.2913,                 5.9609,                 2.2712,                0.74265,                0.06627,                0.06326,                0.03614,                 1.8715,                 5.3554,                 2.0225,               0.044469,             0.00048434,             0.00048434,             0.00048434
                      6,                 2.3581,                 5.2994,                 2.2558,                0.34288,                0.07115,                0.06727,                0.03857,                 1.8688,                 6.1658,                 2.0248,               0.055498,             0.00047393,             0.00047393,             0.00047393
                      7,                 2.2498,                 5.5725,                 2.2397,                0.47298,                 0.0663,                 0.0631,                 0.0354,                 1.9218,                 10.757,                 2.0398,                 0.0598,             0.00046351,             0.00046351,             0.00046351
                      8,                 2.4351,                 5.6902,                 2.2652,                0.48402,                0.07022,                0.07112,                0.04017,                 2.1962,                 5.4226,                 2.0638,                 0.1296,              0.0004531,              0.0004531,              0.0004531
                      9,                 2.5425,                 4.8335,                 2.3098,                0.27567,                0.07197,                 0.0683,                0.03788,                 2.0766,                 4.7155,                 2.0689,               0.082439,             0.00044268,             0.00044268,             0.00044268
                     10,                 2.5383,                 5.4126,                 2.2583,                 0.1432,                 0.0721,                0.06926,                0.04025,                 2.0447,                 4.4486,                  1.994,               0.043176,             0.00043227,             0.00043227,             0.00043227
                     11,                 2.5257,                  4.885,                 2.2052,                0.14809,                0.07267,                 0.0708,                0.04204,                 2.1023,                 4.6654,                 1.9928,               0.059739,             0.00042185,             0.00042185,             0.00042185
                     12,                 2.5918,                 4.4601,                 2.2132,                0.14768,                0.07434,                0.07332,                0.04273,                 2.1319,                 4.1224,                 1.9652,                 0.1559,             0.00041144,             0.00041144,             0.00041144
                     13,                 2.7225,                 4.0549,                 2.2267,                0.14979,                0.06784,                0.07187,                0.03995,                  2.362,                 12.882,                 2.0489,                0.11915,             0.00040102,             0.00040102,             0.00040102
                     14,                 2.7222,                 4.1038,                 2.1828,                0.08807,                0.07303,                0.07619,                0.04326,                 2.3108,                 4.3031,                 2.0089,                 0.1133,             0.00039061,             0.00039061,             0.00039061
                     15,                 2.8567,                  4.145,                  2.184,                0.09074,                 0.0761,                0.07902,                0.04666,                 2.2611,                 5.1925,                 1.9814,                0.14813,             0.00038019,             0.00038019,             0.00038019
